id,prior_prob_count,prior_percent_correct,problems_attempted,mean_correct,mean_hint,mean_attempt,mean_confidence
229463,458,0.46069869,3,0.333333333,1.666666667,1,0.63277681
229469,401,0.800498753,4,1,0,1,0.408794202
229476,421,0.755344418,32,0.84375,0.21875,1.28125,0.345868374
229485,401,0.608478803,15,0.266666667,2.933333333,1.666666667,0.538347804
229499,370,0.659459459,6,0.5,1.5,1.5,0.629349383
229505,389,0.807197943,3,0.666666667,0,1,0.669167171
229565,403,0.813895782,22,0.863636364,0,1.181818182,0.424984086
230180,390,0.748717949,41,0.634146341,1.487804878,1.365853659,0.521179279
230891,930,0.674193548,4,1,0,1,0.441995428
230900,982,0.735234216,8,0.75,0,1,0.548135158
231040,74,0.27027027,7,0.285714286,2.142857143,3,0.471790726
231250,333,0.618618619,7,0.714285714,0.714285714,1.571428571,0.630121756
231512,424,0.794811321,11,0.818181818,0,1.454545455,0.529248036
231513,466,0.733905579,4,1,0,1,0.589242152
231516,561,0.666666667,38,0.684210526,1.184210526,2.026315789,0.459809363
231595,445,0.579775281,4,1,0,1,0.433971362
231601,487,0.737166324,10,0.8,0,1.4,0.738902599
231605,481,0.781704782,6,0.833333333,0,1.166666667,0.548536558
231610,514,0.651750973,7,0.714285714,1.285714286,1.142857143,0.584352836
231614,444,0.632882883,4,1,0,1,0.529911011
231687,425,0.637647059,2,0.5,0,2,0.503647726
231688,475,0.875789474,7,0.857142857,0,1.285714286,0.429459074
231693,456,0.710526316,4,1,0,1,0.420231715
231810,458,0.77510917,14,0.928571429,0.357142857,1,0.654897378
231864,455,0.674725275,11,0.636363636,0,2,0.258397759
231868,502,0.693227092,19,0.578947368,1.421052632,1.473684211,0.72211997
231871,476,0.74789916,8,0.875,0,1.125,0.531792985
232036,380,0.757894737,4,0.5,1,1,0.473474988
232103,400,0.815,16,0.75,0.0625,1.5,0.466300471
232195,388,0.641752577,28,0.785714286,0.464285714,2.071428571,0.483749321
232232,376,0.656914894,8,0.375,2.25,1.5,0.604096642
232317,403,0.82382134,4,1,0,1,0.457011147
232700,502,0.731075697,7,0.428571429,1.857142857,1.285714286,0.423164655
232809,117,0.705128205,2,0.5,0,0.5,0.528682044
232810,103,0.742718447,7,0.857142857,0,1.142857143,0.52594893
232814,111,0.603603604,2,0.5,0,4.5,0.451431611
232821,110,0.686363636,2,0.5,0,0.5,0.519387333
232837,73,0.606164384,2,0.5,0,0.5,0.711872408
233649,1243,0.788616251,4,1,0,1,0.499950703
233915,394,0.695431472,22,0.909090909,0,1.136363636,0.487711758
234809,238,0.571428571,7,0.857142857,0.571428571,1.428571429,0.612953393
234817,161,0.459627329,4,0.25,2.25,0.75,0.409144373
234861,139,0.568345324,2,0.5,0,1.5,0.463633083
234913,88,0.420454545,2,0.5,0,0.5,0.381392885
234918,87,0.770114943,2,0.5,0,0.5,0.58564682
234936,93,0.47311828,3,0.333333333,1.666666667,0.666666667,0.615626033
234940,141,0.609929078,4,1,0,1,0.595826739
234984,70,0.757142857,7,0.285714286,2.571428571,1.571428571,0.28677025
235002,132,0.46969697,2,0.5,0,0.5,0.628052945
235003,41,0.414634146,1,0,0,0,0.549946639
235018,102,0.568627451,6,0.833333333,0.833333333,1.333333333,0.54505019
235019,78,0.551282051,3,0.333333333,0,1.333333333,0.407092743
235094,76,0.644736842,2,0.5,0,0.5,0.332637208
235095,60,0.65,3,0.666666667,0,1,0.389672424
235096,123,0.658536585,7,0.857142857,0,1.142857143,0.483266855
235106,112,0.598214286,4,1,0,1,0.521431075
235108,116,0.612068966,3,0.333333333,0,1,0.565090459
235109,146,0.703767123,6,0.833333333,0,1.166666667,0.585779488
235116,189,0.624338624,6,0.833333333,0,1.166666667,0.461778727
235185,136,0.573529412,10,0.8,0,1.2,0.530249224
235192,112,0.589285714,11,0.818181818,0,1.454545455,0.679052632
235203,103,0.805825243,11,0.818181818,0.363636364,1.636363636,0.51287512
235212,157,0.541401274,4,1,0,1,0.426538667
235218,155,0.701612903,4,1,0,1,0.382895061
235342,121,0.685950413,4,1,0,1,0.374316703
235354,109,0.660550459,21,0.571428571,1.285714286,2.714285714,0.654598967
235363,86,0.662790698,4,1,0,1,0.500898407
235365,96,0.677083333,7,0.714285714,1.285714286,2.857142857,0.536840854
235415,217,0.69124424,4,1,0,1,0.476374725
235417,366,0.778688525,4,1,0,1,0.519107008
235429,404,0.871287129,6,0.833333333,0,1.333333333,0.589258538
235570,168,0.651785714,4,1,0,1,0.519175393
235572,131,0.68129771,11,0.727272727,0,1.363636364,0.551784795
235587,172,0.523255814,2,0.5,0.5,2,0.686987267
235589,219,0.680365297,6,0.833333333,0,1.5,0.558720577
235590,232,0.75,10,0.7,0,1.5,0.322848967
235592,399,0.769423559,11,0.727272727,0,1.545454545,0.616791101
235595,185,0.783783784,4,1,0,1,0.647147876
235597,269,0.784386617,6,0.833333333,0,1.166666667,0.682215957
235607,153,0.560457516,12,0.666666667,0.916666667,3,0.40368702
235612,225,0.742222222,4,1,0,1,0.556389352
235863,146,0.601027397,14,0.642857143,0,1.785714286,0.462212625
235981,185,0.724324324,4,1,0,1,0.537955937
235987,257,0.447470817,2,0.5,0,0.5,0.553677234
235990,160,0.65,2,0.5,2,2.5,0.577252462
236012,106,0.54245283,10,0.7,0,1.4,0.484326892
236020,124,0.459677419,1,0,0,0,0.480126655
236021,137,0.445255474,2,0.5,0,0.5,0.426353358
236023,109,0.573394495,2,0.5,0,0.5,0.579883159
236026,120,0.479166667,4,0.75,0,0.75,0.537190117
236027,90,0.466666667,3,0.333333333,1.666666667,1.333333333,0.496707277
236029,116,0.560344828,3,0.333333333,1.666666667,1,0.451151706
236030,112,0.703125,2,0.5,0,0.5,0.452826536
236032,79,0.544303797,3,0.333333333,0.333333333,1,0.365486356
236045,235,0.817021277,1,0,0,0,0.499403503
236065,255,0.82745098,4,1,0,1,0.610515406
236069,208,0.826923077,17,0.647058824,0.647058824,2.647058824,0.412285191
236165,129,0.682170543,3,0.333333333,3,1.333333333,0.434760951
236167,125,0.774,4,1,0,1,0.591023983
236169,130,0.669230769,2,0.5,0,0.5,0.483845556
236170,69,0.757246377,3,0.333333333,1.666666667,1.333333333,0.507809333
236171,148,0.618243243,6,0.5,1.5,1.333333333,0.487902698
236174,103,0.594660194,3,0.333333333,1.666666667,1.666666667,0.437970955
236175,98,0.724489796,4,1,0,1,0.537215472
236181,143,0.713286713,7,0.857142857,0.285714286,1.571428571,0.547913681
236192,122,0.639344262,8,0.75,0,0.75,0.667366674
236193,131,0.494274809,3,0.333333333,1.666666667,1,0.367010794
236195,109,0.607798165,4,1,0,1,0.322913589
236198,89,0.536516854,1,0,0,0,0.363943141
236200,114,0.719298246,3,0.333333333,1.666666667,1,0.664355809
236208,137,0.481751825,2,0.5,0,0.5,0.454371448
236565,108,0.675925926,6,0.833333333,0,0.833333333,0.595096618
236688,104,0.728365385,10,0.8,0.6,2.4,0.493104568
236716,126,0.920634921,4,1,0,1,0.588148397
236787,165,0.654545455,6,0.833333333,0,1.166666667,0.568472359
236790,301,0.634551495,4,1,0,1,0.389974692
236792,259,0.694980695,6,0.833333333,0.333333333,2,0.550052181
237111,377,0.687002653,11,0.727272727,1.272727273,1.454545455,0.242079857
237319,60,0.716666667,2,0.5,0,0.5,0.3780732
239527,429,0.825174825,4,1,0,1,0.589999669
239528,424,0.679245283,1,0,0,0,0.367161139
239532,255,0.831372549,1,0,0,0,0.450325035
239543,249,0.706827309,3,0.333333333,0.666666667,2,0.457525029
240008,100,0.73,37,0.702702703,0.702702703,1.297297297,0.433671267
240009,18,0.611111111,27,0.777777778,0.37037037,1.444444444,0.385244752
240010,86,0.813953488,12,0.666666667,1.5,1.333333333,0.47845876
240012,80,0.75,24,0.791666667,0.916666667,1.166666667,0.439968694
240013,19,0.578947368,7,0.857142857,0,1.285714286,0.450277027
240014,90,0.677777778,18,0.666666667,0.944444444,1.333333333,0.453839094
240024,55,0.563636364,12,0.833333333,0.75,1.25,0.535844045
240025,67,0.850746269,49,0.734693878,0.551020408,1.469387755,0.601133236
240026,93,0.709677419,15,0.8,0.066666667,1.133333333,0.447019952
240027,87,0.75862069,34,0.647058824,0.235294118,1.735294118,0.528061858
240033,87,0.75862069,8,0.75,0.5,1.625,0.53416872
240038,159,0.553459119,21,0.714285714,1.238095238,1.523809524,0.302901821
240039,37,0.459459459,34,0.617647059,1.470588235,1.470588235,0.558628768
240100,56,0.660714286,13,0.846153846,0.384615385,1.153846154,0.377523791
240102,95,0.673684211,23,0.869565217,0.52173913,1.304347826,0.428906057
240103,69,0.753623188,4,1,0,1,0.414924719
240104,102,0.725490196,8,0.75,0,1.25,0.578990579
240105,84,0.785714286,7,1,0,1,0.555214013
240106,45,0.8,18,0.833333333,0.666666667,1.222222222,0.28009333
240108,101,0.811881188,11,0.818181818,0,1.636363636,0.416620939
240109,87,0.850574713,19,0.894736842,0,1.105263158,0.48975901
240111,95,0.747368421,6,0.833333333,0.166666667,1.333333333,0.357973169
240225,96,0.697916667,17,0.588235294,0.235294118,1.411764706,0.372886003
240226,97,0.680412371,27,0.666666667,1.111111111,1.62962963,0.511314908
240227,97,0.742268041,35,0.8,0.628571429,1.314285714,0.398496968
240228,45,0.711111111,14,0.928571429,0.357142857,1.071428571,0.492551364
240229,74,0.689189189,10,0.9,0,1.1,0.681670883
240230,133,0.654135338,16,0.8125,0.5625,1.125,0.696333053
240231,87,0.643678161,34,0.647058824,1.117647059,1.558823529,0.37365325
240232,105,0.704761905,11,0.818181818,0.818181818,1.363636364,0.587055369
240233,146,0.712328767,22,0.818181818,0,1.227272727,0.580902266
240296,96,0.604166667,12,0.583333333,0.75,1.416666667,0.595281275
240297,115,0.6,14,0.642857143,1,1.5,0.458016768
240298,92,0.706521739,14,0.785714286,0,1.071428571,0.68150498
240299,89,0.584269663,10,0.7,0,2,0.564958829
240300,188,0.563829787,60,0.7,1.083333333,1.5,0.439313792
240323,100,0.7,4,1,0,1,0.474665186
240465,103,0.495145631,29,0.413793103,2.586206897,2,0.661171865
240698,26,0.423076923,2,0.5,0,0.5,0.526273372
240840,122,0.795081967,10,0.9,0,1.1,0.476985311
240845,130,0.846153846,8,0.875,0.5,1.125,0.319926326
240847,3,0.333333333,4,1,0,1,0.508499745
240849,29,0.655172414,12,1,0,1,0.437907977
240853,90,0.622222222,4,1,0,1,0.61116644
240855,48,0.6875,7,0.714285714,0.714285714,1.714285714,0.326716369
240857,85,0.752941176,3,0.666666667,0,0.666666667,0.369177341
240858,71,0.647887324,3,0.333333333,0,1,0.49869912
240859,83,0.879518072,5,0.4,0.8,1.2,0.54238405
240860,106,0.820754717,4,1,0,1,0.595953962
241158,79,0.696202532,7,0.714285714,0.714285714,1.428571429,0.568258825
242073,74,0.554054054,3,0.333333333,0,2,0.380865402
242959,29,0.810344828,3,0.333333333,2,1.333333333,0.760909261
242960,29,0.439655172,6,0.333333333,2.166666667,2.833333333,0.295407648
242961,48,0.505208333,2,0.5,0,0.5,0.492734539
242962,29,0.732758621,7,0.285714286,2.285714286,2.285714286,0.535224411
242963,29,0.629310345,6,0.5,1.5,0.833333333,0.542782676
242965,29,0.948275862,14,0.642857143,1.214285714,1.357142857,0.354063256
242966,29,0.568965517,3,0.333333333,1.666666667,1,0.584877857
242970,29,0.379310345,2,0.5,0,4,0.504358143
242981,29,0.698275862,1,0,0,0,0.611168123
243306,29,0.862068966,2,0.5,0.5,1.5,0.488789566
243308,39,0.576923077,6,0.833333333,0,1.166666667,0.322786652
243976,100,0.72,36,0.861111111,0.222222222,1.222222222,0.499765477
244439,389,0.750642674,52,0.634615385,1.384615385,1.846153846,0.483817203
245690,36,0.75,6,0.833333333,0.833333333,1.333333333,0.452695058
246906,63,0.682539683,42,0.833333333,0.714285714,1.238095238,0.333235086
247298,18,0.611111111,4,0.5,1,1.5,0.484626754
247299,14,0.642857143,16,0.75,0.25,1.125,0.424179775
247301,50,0.62,31,0.64516129,1.35483871,1.516129032,0.261815824
247302,12,0.833333333,13,0.923076923,0,0.923076923,0.585105657
247303,7,0.857142857,3,0.333333333,0,0.666666667,0.452405221
247304,26,0.730769231,19,0.684210526,0.157894737,1.736842105,0.419831955
247307,41,0.390243902,13,0.461538462,2.076923077,1.307692308,0.499102751
247308,16,0.625,2,0.5,0,0.5,0.606997319
247309,20,0.7,5,0.4,0.2,1.6,0.508972641
247310,3,0.333333333,4,0.5,1,0.75,0.351420416
247312,14,0.714285714,3,0.333333333,1.666666667,1.333333333,0.396162842
247314,10,0.7,1,0,0,0,0.418387898
247317,9,0.555555556,9,0.333333333,2,1.444444444,0.504985979
247865,41,0.609756098,7,0.714285714,0,1,0.520913014
247923,53,0.773584906,2,0.5,0,1.5,0.60874131
248265,77,0.87012987,4,1,0,1,0.672608652
248482,3,1,4,1,0,1,0.662903063
248510,6,1,11,0.818181818,0.090909091,1.363636364,0.482902156
248514,27,0.851851852,4,1,0,1,0.538184558
248517,12,0.916666667,31,0.709677419,0.193548387,1.516129032,0.525580047
249027,57,0.684210526,3,0.666666667,0,0.666666667,0.376906749
249393,72,0.666666667,4,1,0,1,0.48175944
249396,66,0.742424242,8,1,0,1,0.626675085
249397,53,0.773584906,11,0.909090909,0,1.090909091,0.774487181
249398,43,0.76744186,4,1,0,1,0.456321172
249401,68,0.661764706,12,0.833333333,0,1.666666667,0.433489928
249402,41,0.707317073,4,1,0,1,0.677589808
249403,46,0.673913043,16,0.8125,0.0625,1.5625,0.299697391
249404,10,0.5,4,1,0,1,0.45933757
249410,47,0.808510638,4,1,0,1,0.589520736
249411,33,0.757575758,16,0.9375,0,1.0625,0.425406152
249412,36,0.583333333,6,0.833333333,0,1.666666667,0.624239886
249899,92,0.684782609,4,0.75,0,1.25,0.583600988
249933,38,0.605263158,2,0.5,0,0.5,0.512833812
251060,14,0.428571429,2,0.5,0,0.5,0.555831965
251061,9,0.444444444,2,0.5,0,1.5,0.394121605
251062,6,0.833333333,10,0.8,0,1.1,0.597820382
251065,1,1,2,0.5,0.5,1,0.399541613
251067,9,0.666666667,2,0.5,0.5,2.5,0.306114065
251070,6,0.833333333,6,1,0,1,0.610162776
251071,4,1,4,1,0,1,0.437440263
251072,1,1,3,0.666666667,0,0.666666667,0.299705516
251073,4,1,3,0.333333333,2,4,0.492681227
251074,6,0.833333333,3,0.666666667,1,1,0.67631908
251075,1,1,9,0.444444444,1,2.666666667,0.414300822
251079,11,0.727272727,3,0.333333333,0,1,0.535953942
251080,4,1,19,0.736842105,0.368421053,1.684210526,0.5083717
251082,6,0.666666667,2,0.5,0.5,4,0.526263147
251083,5,0.4,2,0.5,0,0.5,0.626325435
251085,1,1,3,0.333333333,0,1.666666667,0.5571741
251087,1,1,1,0,0,0,0.435443888
251089,6,0.833333333,10,0.6,0.3,2.6,0.592749953
251092,1,1,21,0.571428571,1.714285714,1.619047619,0.636878461
251382,20,0.85,2,0.5,0,0.5,0.280558591
251990,1,1,25,0.48,2.08,1.48,0.622327139
252280,15,0.8,10,0.9,0.5,1.2,0.44832384
252281,2,0.5,13,0.615384615,1.153846154,1.538461538,0.617124606
252285,3,0.333333333,3,0.333333333,2,2.333333333,0.293079333
252286,3,0.666666667,6,0.833333333,0.833333333,1,0.579679522
252287,6,0.333333333,1,0,0,0,0.441669899
252294,10,0.8,2,0.5,0,0.5,0.581317016
252302,1,1,2,0.5,0,0.5,0.381341919
252303,6,0.5,6,0.5,0.5,2,0.693191801
253464,9,0.222222222,23,0.782608696,0,1.347826087,0.602102558
253517,6,0.833333333,16,0.5625,0.5625,2.0625,0.571269408
255494,12,0.75,3,0.666666667,0.666666667,1.333333333,0.563378802
256227,84,0.678571429,3,0.333333333,1.666666667,1.333333333,0.567500676
257289,20,1,4,1,0,1,0.439282651
