"stid","year","video","participation","watch.time","confusion.points","key.points"
42,2019,"B",1,8,8,3
43,2019,"B",1,15,6,1
44,2019,"B",0,0,0,0
45,2019,"B",1,21,7,3
46,2019,"B",1,22.5,9,2
47,2019,"B",1,15.75,7,2
48,2019,"B",0,0,0,0
49,2019,"B",0,0,0,0
50,2019,"B",0,0,0,0
51,2019,"B",1,20,8,2
52,2019,"B",0,0,0,0
53,2019,"B",1,11,4,1
54,2019,"B",0,0,0,0
55,2019,"B",0,0,0,0
56,2019,"B",1,4.5,3,3
57,2019,"B",0,0,0,0
58,2019,"B",1,14,8,4
59,2019,"B",1,20,8,1
60,2019,"B",0,0,0,0
31,2019,"C",1,6.25,5,1
32,2019,"C",1,13.75,5,3
33,2019,"C",1,8.75,7,2
34,2019,"C",1,6,4,1
35,2019,"C",0,0,0,0
36,2019,"C",1,7,4,2
37,2019,"C",1,14,8,1
38,2019,"C",1,22,8,4
39,2019,"C",1,30,10,0
40,2019,"C",1,8.75,5,1
41,2019,"C",1,8.75,7,1
42,2019,"C",1,21,7,2
43,2019,"C",0,0,0,0
44,2019,"C",1,30,12,2
45,2019,"C",1,11.25,5,2
46,2019,"C",1,22,8,4
47,2019,"C",0,0,0,0
48,2019,"C",1,10,10,5
49,2019,"C",0,0,0,0
50,2019,"C",1,7.5,6,3
51,2019,"C",0,0,0,0
52,2019,"C",0,0,0,0
53,2019,"C",1,16.5,6,0
54,2019,"C",1,19.25,7,4
55,2019,"C",0,0,0,0
56,2019,"C",0,0,0,0
57,2019,"C",1,9,9,0
58,2019,"C",0,0,0,0
59,2019,"C",1,15.75,9,2
60,2019,"C",1,20,10,2
31,2019,"D",0,0,0,0
32,2019,"D",1,5.25,3,2
33,2019,"D",0,0,0,0
34,2019,"D",1,15.75,7,1
35,2019,"D",1,3,2,2
36,2019,"D",1,13.75,5,1
37,2019,"D",0,0,0,0
38,2019,"D",1,6.75,3,3
39,2019,"D",0,0,0,0
40,2019,"D",0,0,0,0
41,2019,"D",0,0,0,0
42,2019,"D",1,20,8,3
43,2019,"D",1,15,5,1
44,2019,"D",1,17.5,10,2
45,2019,"D",1,7,7,1
46,2019,"D",1,18,8,1
47,2019,"D",1,7.5,6,2
48,2019,"D",1,20,8,0
49,2019,"D",0,0,0,0
50,2019,"D",1,19.25,7,2
51,2019,"D",1,8.75,5,3
52,2019,"D",0,0,0,0
53,2019,"D",1,9,3,1
54,2019,"D",0,0,0,0
55,2019,"D",1,13.5,9,3
56,2019,"D",1,13.5,6,1
57,2019,"D",1,16.5,6,2
58,2019,"D",1,13.75,5,1
59,2019,"D",1,19.25,11,2
60,2019,"D",1,22.5,9,2
31,2019,"E",1,12.25,7,2
32,2019,"E",1,12,6,2
33,2019,"E",1,13.5,6,1
34,2019,"E",0,0,0,0
35,2019,"E",1,13.5,6,0
36,2019,"E",1,13.75,5,2
37,2019,"E",1,22.5,10,0
38,2019,"E",0,0,0,0
39,2019,"E",0,0,0,0
40,2019,"E",1,18,9,1
41,2019,"E",1,21,7,2
42,2019,"E",1,7,4,1
43,2019,"E",1,27,9,2
44,2019,"E",0,0,0,0
45,2019,"E",0,0,0,0
46,2019,"E",0,0,0,0
47,2019,"E",1,20,8,2
48,2019,"E",0,0,0,0
49,2019,"E",1,9,6,1
50,2019,"E",1,27.5,10,3
51,2019,"E",1,3.75,3,3
52,2019,"E",1,20,8,2
53,2019,"E",1,16.5,6,2
54,2019,"E",1,13.5,9,3
55,2019,"E",1,13.5,9,2
56,2019,"E",1,12,6,2
57,2019,"E",1,17.5,10,1
58,2019,"E",1,6,4,1
59,2019,"E",0,0,0,0
60,2019,"E",0,0,0,0
